ticker,announce_date,announce_hour,eps_est,eps_act,surprise,label,timing,beta,mm_car0_1,mm_car1_1,mm_car0_5,mm_car1_5,mm_car0_10,mm_car1_10,mm_car0_20,mm_car1_20,ma_car0_1,ma_car1_1,ma_car0_5,ma_car1_5,ma_car0_10,ma_car1_10,ma_car0_20,ma_car1_20,sa_car0_1,sa_car1_1,sa_car0_5,sa_car1_5,sa_car0_10,sa_car1_10,sa_car0_20,sa_car1_20,day0_date
AAPL,2026-07-30,16.0,1.89,2.02,0.06878306878306885,beat,after close,0.9096661147291647,-0.11285051983919062,-0.03174548000418273,-0.10325447063382502,-0.022149430798817135,-0.13475726013504502,-0.053652220300037134,-0.09205117193193549,-0.010946132096927602,-0.11275357988326473,-0.03201512628739911,-0.10094597041829578,-0.02020751682243016,-0.12772608244118966,-0.046987628845324036,-0.07404343369458688,0.006695019901278743,-0.1044889973172215,-0.033112764542513995,-0.12772379029745595,-0.05634755752274845,-0.16149641998446884,-0.09012018720976134,-0.0949512986147284,-0.023575065840020892,2026-07-31
AAPL,2026-04-30,16.0,1.94,2.01,0.036082474226804044,beat,after close,1.051906758811793,0.02157854919848296,-0.007932087924560148,0.051660811179502386,0.022150174056459276,0.07382480600414669,0.04431416888110358,0.06726696931135857,0.037756332188315464,0.02147230320512805,-0.008152154433526126,0.05284219278367719,0.02321773514502301,0.07497198795314597,0.04534753031449179,0.06946438395304022,0.03983992631438604,0.004606966211419983,-0.012927567440912946,-0.01792574028221139,-0.03546027393454432,0.0016950223304087464,-0.015839511321924182,-0.08414039351248992,-0.10167492716482285,2026-05-01
AAPL,2026-01-29,16.0,2.67,2.84,0.0636704119850187,beat,after close,1.2970156079795256,0.042573366230728354,0.034096044563939464,0.08095119159443515,0.07247386992764626,0.016205889826181943,0.0077285681593930525,0.042716109742424194,0.0342387880756353,0.04323868859128788,0.03560989899282063,0.07980445341137243,0.07217566381290519,0.011446714373648748,0.0038179247751815026,0.0403954251969979,0.03276663559853066,0.05599420901532959,0.030989851543122393,0.11319599271436442,0.08819163524215723,0.04273674101396163,0.017732383541754437,0.078055821886717,0.05305146441450981,2026-01-30
AAPL,2025-10-30,16.0,1.77,1.85,0.04519774011299439,beat,after close,1.242218141175773,-0.01405911919104201,-0.0067014326501139455,0.008375577416169108,0.015733263957097173,0.02463693154328031,0.03199461808420838,0.05303422329895243,0.06039190983988049,-0.01383418752981247,-0.006758943806741136,0.0021600770335856723,0.009235320756657006,0.016270922952549283,0.023346166675620617,0.04264512302018442,0.04972036674325575,-0.013733207052418317,-0.008972979201760878,0.030168109169022683,0.03492833701968012,0.04531205855983533,0.05007228641049277,0.08956003910094545,0.0943202669516029,2025-10-31
AAPL,2025-07-31,16.0,1.43,1.57,0.09790209790209799,beat,after close,1.2131680844822967,-0.0168705040149075,-0.01269913543581419,0.09827909906455698,0.10245046764365029,0.10216644280030826,0.10633781137940157,0.11115470617952541,0.11532607475861872,-0.01901996658248828,-0.010406845223822625,0.09437403779553422,0.10298715915419987,0.09562060606909972,0.10423372742776538,0.09570349796294031,0.10431661932160596,-0.018936212789631424,-0.015512782560664684,0.09011535756479294,0.09353878779375968,0.10186015045450458,0.10528358068347132,0.1164828927855901,0.11990632301455684,2025-08-01
AAPL,2025-05-01,16.0,1.62,1.65,0.018518518518518396,inline,after close,0.9659517576017688,-0.07883125227669577,-0.026525069117254566,-0.0844530157422232,-0.032146832582782,-0.07241590607377682,-0.020109722914335618,-0.1215761274887526,-0.0692699443293114,-0.07793009745637092,-0.02572415806199768,-0.08118166758805256,-0.02897572819367933,-0.06789178221471681,-0.015685842820343576,-0.11092444249955158,-0.058718503105178343,-0.08022089909707697,-0.02614949310543513,-0.09194552734674255,-0.03787412135510071,-0.10426540493416159,-0.050193998942519746,-0.14166752159987261,-0.08759611560823077,2025-05-02
AAPL,2025-01-30,16.0,2.35,2.4,0.021276595744680774,beat,after close,0.9272452458876552,-0.030295214543258217,-0.02807689929126063,-0.038006487665737346,-0.03578817241373976,0.019602840271219335,0.021821155523216923,0.028305199154282437,0.030523514406280025,-0.02849645853392624,-0.02712631450814884,-0.034733795168798154,-0.033363651143020756,0.024100810395827788,0.025470954421605185,0.04053180959675928,0.04190195362253668,-0.021216100183211628,-0.020381718797814585,-0.04484415421738075,-0.04400977283198371,-0.0016321827544409917,-0.0007978013690439489,0.06297522441152836,0.0638096057969254,2025-01-31
AAPL,2024-10-31,16.0,0.95,0.97,0.02105263157894739,beat,after close,1.0118431444738818,-0.01922016558629605,-0.0017641698815306917,-0.04504230708425885,-0.027586311379493487,-0.03181632632690393,-0.014360330622138574,0.0017886252783198518,0.01924462098308521,-0.01938383679195721,-0.0018837520159759036,-0.04500170864904407,-0.027501623873062764,-0.03249368975409894,-0.014993604978117636,0.0005275672475328896,0.018027652023514196,-0.024072285645805103,-0.00327835352640371,-0.059566474111800494,-0.0387725419923991,-0.032025545011659884,-0.011231612892258491,-0.00030511910289598987,0.020488813016505403,2024-11-01
AAPL,2024-08-01,16.0,1.34,1.4,0.04477611940298495,beat,after close,1.0631343322403497,0.010268062788387019,-0.016799831414274415,0.013045481437106052,-0.01402241276555538,0.018872367455530344,-0.008195526747131088,0.01807820018627561,-0.008989694016385823,0.006444536755262575,-0.019043219424468405,0.009501210315092323,-0.015986545864638657,0.01579900193944661,-0.00968875424028437,0.012029316455210659,-0.013458439724520321,0.02012093971273443,-0.014853130298075001,0.014008742955464504,-0.02096532705534493,-0.014996087826186333,-0.049970157836995766,0.002168625469093133,-0.0328054445417163,2024-08-02
AAPL,2024-05-02,16.0,1.51,1.53,0.013245033112582794,inline,after close,1.0547020888402396,0.02846965905892415,-0.01913592395832541,0.032003539961274544,-0.01560204305597502,0.055756868765605504,0.008151285748355941,0.08969641451128918,0.04209083149403962,0.027987496198067063,-0.019433577717404393,0.02852245889892635,-0.018898615016545106,0.04886478987020648,0.0014437159547350253,0.07401596989547599,0.02659489598000453,0.011099744143572288,-0.02085702268594236,0.016896570190452986,-0.015060196639061663,0.023319755173141332,-0.008637011656373317,0.050404590140664673,0.018447823311150024,2024-05-03
