Date,AAPL,ABBV,ADBE,AMD,AMZN,AVGO,BAC,CAT,COST,CRM,CSCO,CVX,GE,GOOGL,GS,HD,HON,JNJ,JPM,KO,LLY,MA,MCD,META,MRK,MS,MSFT,NFLX,NKE,NVDA,ORCL,PFE,PG,QCOM,SPY,TSLA,UNH,UPS,V,WMT,XLC,XLE,XLF,XLI,XLK,XLP,XLV,XLY,XOM
2020-05-11,76.18466186523438,68.87054443359375,371.4200134277344,55.7400016784668,120.44999694824219,23.96361541748047,19.303340911865234,96.83861541748047,283.7177429199219,179.2480926513672,36.22026824951172,70.31792449951172,29.95527458190918,69.51798248291016,157.48672485351562,201.59872436523438,116.19324493408203,124.7390365600586,76.45066833496094,37.4879264831543,147.55447387695312,271.365478515625,155.3748779296875,211.15756225585938,60.731903076171875,32.929931640625,176.6696014404297,44.051998138427734,81.9452133178711,8.015679359436035,49.04607391357422,26.401817321777344,98.36469268798828,69.92584991455078,267.5228271484375,54.08599853515625,257.8245544433594,71.28355407714844,175.14317321777344,37.97590637207031,48.67232894897461,14.822184562683105,19.470088958740234,56.56595993041992,45.38142013549805,48.84386444091797,91.0849838256836,55.49388885498047,34.42540740966797
2020-05-12,75.31401062011719,70.8763198852539,365.1000061035156,53.7599983215332,117.84750366210938,23.35886573791504,18.69637680053711,93.61988067626953,278.6985168457031,174.21421813964844,36.136661529541016,68.6083755493164,29.035810470581055,68.11087799072266,152.37071228027344,198.47964477539062,110.40432739257812,123.09102630615234,73.95243072509766,36.89522933959961,146.7820587158203,262.5653381347656,151.64683532714844,208.10682678222656,60.170677185058594,31.764192581176758,172.66775512695312,43.18199920654297,79.53903198242188,7.754302024841309,47.89162826538086,25.889028549194336,97.71638488769531,68.13601684570312,262.19073486328125,53.96066665649414,256.9404602050781,70.47895812988281,171.24072265625,38.00967025756836,47.724952697753906,14.561529159545898,18.96241569519043,54.977535247802734,44.44439697265625,48.43150329589844,89.69780731201172,54.279666900634766,33.849979400634766
2020-05-13,74.40465545654297,69.63054656982422,358.55999755859375,52.18000030517578,118.39600372314453,22.897693634033203,17.84148406982422,93.15624237060547,276.23004150390625,166.46218872070312,35.074790954589844,66.80088806152344,28.019554138183594,66.78102111816406,147.7190399169922,196.0934295654297,106.4066162109375,123.0826644897461,71.40322875976562,36.17082977294922,146.9774627685547,259.7187805175781,148.45138549804688,203.1542510986328,60.71633529663086,30.58192253112793,170.0565643310547,43.82699966430664,77.52034759521484,7.7319416999816895,47.32356643676758,25.674213409423828,97.17896270751953,67.77106475830078,257.5536804199219,52.73066711425781,248.27755737304688,68.87733459472656,169.2527618408203,37.98817443847656,46.908905029296875,13.900172233581543,18.401287078857422,53.597877502441406,43.678592681884766,47.99388885498047,88.72499084472656,53.34528350830078,32.169761657714844
2020-05-14,74.86174774169922,70.46891021728516,355.3900146484375,54.5099983215332,119.44249725341797,23.19788932800293,18.55959129333496,94.68091583251953,274.03582763671875,163.87164306640625,36.66339874267578,67.8176040649414,27.584022521972656,67.20350646972656,149.99752807617188,199.8260955810547,110.74761962890625,123.50932312011719,74.36880493164062,35.973262786865234,148.0901336669922,267.5830078125,150.6761932373047,204.84803771972656,62.40005874633789,31.25988006591797,170.7945098876953,44.19499969482422,77.99800109863281,7.980894565582275,48.4780158996582,26.27708625793457,97.08509826660156,69.39585876464844,260.6359558105469,53.55533218383789,259.53936767578125,69.59844207763672,172.8941192626953,37.89912796020508,47.4154167175293,14.055787086486816,18.873340606689453,54.1606330871582,44.235103607177734,47.876075744628906,89.69780731201172,54.142127990722656,32.453636169433594
2020-05-15,74.4191665649414,71.07220458984375,365.29998779296875,54.20000076293945,120.48899841308594,22.659271240234375,18.32877540588379,96.22339630126953,273.5513610839844,168.12054443359375,37.01457214355469,67.14733123779297,26.56776237487793,68.00586700439453,147.77920532226562,203.9593505859375,109.31803894042969,125.85167694091797,72.99223327636719,35.61106491088867,148.8849334716797,269.1557922363281,149.30174255371094,208.8794403076172,62.18962097167969,30.829944610595703,173.2826385498047,45.41899871826172,78.39452362060547,8.438300132751465,48.48717498779297,26.166210174560547,97.76753997802734,65.83352661132812,261.83404541015625,53.27799987792969,259.85186767578125,69.09746551513672,175.3695068359375,38.67295837402344,48.072021484375,14.001320838928223,18.748645782470703,53.97002029418945,44.458656311035156,48.29684829711914,90.4544448852539,54.77294921875,32.223472595214844
2020-05-18,76.17256164550781,71.66765594482422,367.9700012207031,54.59000015258789,121.31300354003906,23.800901412963867,19.60255241394043,102.55389404296875,276.796875,169.26864624023438,37.67510223388672,70.72362518310547,30.34242057800293,68.60616302490234,156.38609313964844,209.0896453857422,118.58403778076172,125.91862487792969,76.85852813720703,37.018707275390625,147.69741821289062,279.7314453125,154.47296142578125,211.16751098632812,62.142845153808594,33.301971435546875,174.93832397460938,45.257999420166016,82.0443344116211,8.696198463439941,48.69792175292969,26.381023406982422,99.13243103027344,69.45667266845703,269.8094482421875,54.242000579833984,261.9952392578125,72.94590759277344,182.91036987304688,39.20112228393555,49.085052490234375,15.145078659057617,19.710569381713867,57.5280876159668,45.54788589477539,49.062660217285156,91.20206451416016,56.845664978027344,34.78600311279297
2020-05-19,75.7323989868164,71.45612335205078,372.20001220703125,55.470001220703125,122.46649932861328,23.66341209411621,18.98703384399414,99.93254089355469,278.506591796875,172.7423095703125,37.29885482788086,68.48461151123047,30.052061080932617,68.0722427368164,152.90377807617188,202.9111785888672,115.01882934570312,124.66376495361328,75.34599304199219,36.66474914550781,146.51930236816406,280.5321350097656,154.2496337890625,214.822509765625,60.451290130615234,32.516544342041016,173.7273406982422,45.104000091552734,82.4678955078125,8.751108169555664,47.95576858520508,26.110776901245117,95.91646575927734,67.84928894042969,267.0381164550781,53.867332458496094,258.14605712890625,73.1963882446289,180.97975158691406,38.36894989013672,49.07566452026367,14.72103500366211,19.229610443115234,56.79288101196289,45.38142013549805,48.162193298339844,90.10314178466797,56.64170837402344,33.711883544921875
2020-05-20,77.20526885986328,71.44828796386719,383.6300048828125,56.38999938964844,124.89700317382812,24.2490177154541,19.5854549407959,103.15129089355469,278.76251220703125,173.61563110351562,37.99282455444336,71.06748962402344,31.068313598632812,69.79385375976562,156.00779724121094,202.98782348632812,118.5753402709961,123.54278564453125,77.60627746582031,37.77604675292969,143.18125915527344,288.31915283203125,158.1408233642578,227.78831481933594,59.93681716918945,33.94683837890625,176.1370086669922,44.766998291015625,83.76557922363281,8.914590835571289,48.46885299682617,26.07612419128418,96.63301849365234,70.0561752319336,271.5746154785156,54.37066650390625,257.19940185546875,73.76570129394531,185.28057861328125,38.52248764038086,50.43575668334961,15.308476448059082,19.65713119506836,57.854854583740234,46.37552261352539,48.734458923339844,90.21123504638672,57.38164138793945,34.80902099609375
2020-05-21,76.62965393066406,72.8821029663086,382.1700134277344,54.650001525878906,122.33699798583984,23.91140365600586,19.576908111572266,101.69794464111328,276.0747375488281,171.9769287109375,37.32392501831055,70.33389282226562,31.358680725097656,69.67448425292969,154.85560607910156,205.2803192138672,120.02232360839844,122.73130798339844,76.62059020996094,37.18334197998047,142.38644409179688,283.9383544921875,158.9827117919922,229.19483947753906,59.671775817871094,33.31849670410156,174.0214080810547,43.625,84.94615173339844,8.721043586730957,47.8458137512207,25.819725036621094,95.21695709228516,67.77106475830078,269.69970703125,55.17333221435547,256.2348937988281,73.86437225341797,182.18392944335938,38.381229400634766,50.079315185546875,15.063386917114258,19.594783782958984,57.99100875854492,45.728641510009766,48.19586944580078,89.54466247558594,57.58558654785156,34.18757247924805
2020-05-22,77.12301635742188,72.1612777709961,385.260009765625,55.16999816894531,121.84400177001953,24.07237434387207,19.371734619140625,100.28030395507812,276.4952392578125,174.51841735839844,37.54132080078125,68.98898315429688,31.01991844177246,69.99593353271484,154.70944213867188,206.13247680664062,121.32113647460938,121.61099243164062,76.0257797241211,37.06809997558594,141.33924865722656,284.56561279296875,158.40711975097656,232.68145751953125,59.53147888183594,33.177955627441406,174.09735107421875,42.93199920654297,84.4865493774414,8.970491409301758,48.21230697631836,25.98604965209961,96.05294036865234,68.37928771972656,270.21185302734375,54.45866775512695,258.94091796875,74.1865234375,182.41331481933594,38.178558349609375,50.37947082519531,14.97001838684082,19.523527145385742,57.945621490478516,45.895103454589844,48.36417770385742,89.73382568359375,57.500213623046875,34.218257904052734
2020-05-26,76.60065460205078,71.07220458984375,376.6300048828125,53.189998626708984,121.09300231933594,24.53964614868164,20.756654739379883,104.68486785888672,278.66204833984375,173.2133331298828,37.49116134643555,71.29674530029297,32.90725326538086,70.39860534667969,168.57850646972656,206.6438446044922,126.342041015625,121.77105712890625,81.42159271240234,37.9406852722168,138.34710693359375,292.6902160644531,158.77651977539062,229.9971466064453,60.225242614746094,36.12122344970703,172.25686645507812,41.47700119018555,87.07299041748047,8.663898468017578,48.358909606933594,25.979116439819336,95.56670379638672,67.7884521484375,273.5409851074219,54.591331481933594,263.36175537109375,74.4549789428711,184.66888427734375,38.03425216674805,50.520172119140625,15.386280059814453,20.538898468017578,60.378170013427734,45.84754943847656,48.625057220458984,89.57168579101562,58.410888671875,35.22331619262695
2020-05-27,76.93437194824219,70.50023651123047,375.1700134277344,52.7400016784668,120.51950073242188,25.024309158325195,22.2099552154541,109.15187072753906,279.76824951171875,173.29183959960938,38.427589416503906,71.75524139404297,35.27850341796875,70.3446273803711,180.27223205566406,210.8026123046875,129.5237274169922,122.04898834228516,86.13764953613281,38.46751403808594,136.23399353027344,289.2550964355469,161.2504119873047,226.96617126464844,60.451290130615234,38.74205780029297,172.4844970703125,41.98899841308594,90.00184631347656,8.472587585449219,48.74372482299805,25.923673629760742,97.15338134765625,68.89192962646484,277.6109924316406,54.68199920654297,271.2922668457031,76.41090393066406,184.28660583496094,37.6104736328125,50.876609802246094,15.584691047668457,21.429569244384766,62.3931884765625,46.10914993286133,49.35721206665039,90.49949645996094,59.411678314208984,35.47651290893555
2020-05-28,76.96826171875,70.53941345214844,379.8299865722656,51.7400016784668,120.05500030517578,24.637100219726562,21.252485275268555,107.65394592285156,283.0137634277344,177.70753479003906,38.126590728759766,69.43982696533203,32.81045913696289,70.24358367919922,173.0152130126953,208.91067504882812,128.62591552734375,123.80113220214844,84.85453033447266,38.763877868652344,140.8623504638672,291.69635009765625,162.11798095703125,223.32110595703125,61.61277389526367,36.70822525024414,172.09552001953125,41.34400177001953,88.73117065429688,8.43457317352295,49.1285514831543,26.457256317138672,99.00447082519531,67.86664581298828,277.098876953125,53.72066879272461,271.4709167480469,76.48760986328125,185.6628875732422,37.98203659057617,50.398231506347656,15.148968696594238,21.091114044189453,61.80320739746094,46.01877975463867,49.79481506347656,91.6794662475586,58.69071960449219,34.55583953857422
